"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка невозможности создания пользователя без email","195","Тест создания пользователя без email","tests","2025-10-30","passed","2025-10-30","TestCreateUser","test_create_user","",""
"Проверка невозможности создания заказа без ингредиентов с авторизацией","239","Тест создания заказа с авторизацией, но без ингредиентов","tests","2025-10-30","passed","2025-10-30","TestCreateOrder","test_create_order","",""
"Проверка создания заказа без авторизации, но с ингредиентами","195","Тест создания заказа без авторизации, но с ингредиентами","tests","2025-10-30","passed","2025-10-30","TestCreateOrder","test_create_order","",""
"Проверка невозможности создания пользователя без password","218","Тест создания пользователя без password","tests","2025-10-30","passed","2025-10-30","TestCreateUser","test_create_user","",""
"Проверка невозможности входа с полностью неверными данными","229","Тест входа с неверным email и паролем","tests","2025-10-30","passed","2025-10-30","TestLoginUser","test_login_user","",""
"Проверка невозможности входа с неверным паролем","286","Тест входа с неверным паролем","tests","2025-10-30","passed","2025-10-30","TestLoginUser","test_login_user","",""
"Проверка успешного создания заказа с авторизацией и ингредиентами","3007","Тест создания заказа с авторизацией и ингредиентами","tests","2025-10-30","passed","2025-10-30","TestCreateOrder","test_create_order","",""
"Проверка невозможности входа с неверным email","234","Тест входа с неверным email","tests","2025-10-30","passed","2025-10-30","TestLoginUser","test_login_user","",""
"Проверка успешного входа под существующим пользователем","315","Тест успешного входа под существующим пользователем","tests","2025-10-30","passed","2025-10-30","TestLoginUser","test_login_user","",""
"Проверка невозможности создания пользователя, который уже зарегистрирован","212","Тест создания уже зарегистрированного пользователя","tests","2025-10-30","passed","2025-10-30","TestCreateUser","test_create_user","",""
"Проверка обработки запроса с неверным хешем ингредиентов","174","Тест создания заказа с неверным хешем ингредиентов","tests","2025-10-30","passed","2025-10-30","TestCreateOrder","test_create_order","",""
"Проверка успешного создания уникального пользователя","284","Тест успешного создания уникального пользователя","tests","2025-10-30","passed","2025-10-30","TestCreateUser","test_create_user","",""
"Проверка невозможности создания заказа без авторизации и без ингредиентов","240","Тест создания заказа без авторизации и без ингредиентов","tests","2025-10-30","passed","2025-10-30","TestCreateOrder","test_create_order","",""
"Проверка невозможности создания пользователя без name","180","Тест создания пользователя без name","tests","2025-10-30","passed","2025-10-30","TestCreateUser","test_create_user","",""
